date,google_reviews,apple_reviews,reviews
2020-06-01,582,647,1229
2020-06-02,4128,2537,6665
2020-06-03,6410,3738,10148
2020-06-04,7430,4356,11786
2020-06-05,8674,4755,13429
2020-06-06,9604,5002,14606
2020-06-07,11232,5208,16440
2020-06-08,12794,5542,18336
2020-06-09,13792,5748,19540
2020-06-10,14098,5886,19984
2020-06-11,14486,5985,20471
2020-06-12,14824,6071,20895
2020-06-13,15152,6235,21387
2020-06-14,15444,6367,21811
2020-06-15,16296,6775,23071
2020-06-16,16892,7045,23937
2020-06-17,18152,7263,25415
2020-06-18,18756,7436,26192
2020-06-19,19198,7597,26795
2020-06-20,19494,7732,27226
2020-06-21,19582,7741,27323
